Time,#CO2,#Hum,#Temp
2019-06-09 01-00-03,449,19.2352,34.8508
2019-06-09 01-00-07,449,19.2719,34.8508
2019-06-09 01-00-09,449,19.2917,34.8375
2019-06-09 01-00-11,449,19.2688,34.8375
2019-06-09 01-00-13,448,19.2902,34.8241
2019-06-09 01-00-15,448,19.3054,34.8241
2019-06-09 01-00-17,448,19.2688,34.7948
2019-06-09 01-00-19,448,19.3222,34.8081
2019-06-09 01-00-21,449,19.3405,34.7814
2019-06-09 01-00-25,449,19.3039,34.7948
2019-06-09 01-00-27,449,19.2871,34.7681
2019-06-09 01-00-29,448,19.3375,34.7681
2019-06-09 01-00-31,448,19.3909,34.7681
2019-06-09 01-00-33,448,19.3375,34.7494
2019-06-09 01-00-35,448,19.2856,34.7227
2019-06-09 01-00-37,449,19.4229,34.736
2019-06-09 01-00-41,449,19.3878,34.7494
2019-06-09 01-00-43,449,19.3878,34.7681
2019-06-09 01-00-45,449,19.4244,34.7681
2019-06-09 01-00-48,449,19.4061,34.7681
2019-06-09 01-00-50,449,19.3909,34.7814
2019-06-09 01-00-52,449,19.3909,34.7681
2019-06-09 01-00-54,448,19.3726,34.7494
2019-06-09 01-00-56,448,19.3542,34.7814
2019-06-09 01-01-00,449,19.3222,34.7948
2019-06-09 01-01-02,449,19.3558,34.8241
2019-06-09 01-01-04,449,19.342,34.8375
2019-06-09 01-01-06,449,19.3237,34.8241
2019-06-09 01-01-08,449,19.3054,34.8508
2019-06-09 01-01-10,449,19.3085,34.8508
2019-06-09 01-01-12,449,19.3268,34.8375
2019-06-09 01-01-14,449,19.2688,34.8375
2019-06-09 01-01-18,449,19.2688,34.8081
2019-06-09 01-01-20,449,19.2871,34.8081
2019-06-09 01-01-22,449,19.3054,34.7948
2019-06-09 01-01-24,449,19.3741,34.7494
2019-06-09 01-01-26,449,19.3542,34.7814
2019-06-09 01-01-28,449,19.3909,34.7494
2019-06-09 01-01-30,449,19.3878,34.7681
2019-06-09 01-01-34,449,19.3558,34.736
2019-06-09 01-01-36,449,19.3695,34.7494
2019-06-09 01-01-38,449,19.4061,34.736
2019-06-09 01-01-40,448,19.3878,34.7494
2019-06-09 01-01-42,448,19.3375,34.7494
2019-06-09 01-01-44,447,19.4061,34.7814
2019-06-09 01-01-46,447,19.3222,34.7814
2019-06-09 01-01-48,447,19.3741,34.7814
2019-06-09 01-01-52,447,19.3039,34.8081
2019-06-09 01-01-54,447,19.3741,34.8241
2019-06-09 01-01-56,447,19.3054,34.8081
2019-06-09 01-01-58,447,19.3237,34.8081
2019-06-09 01-02-00,446,19.3924,34.8081
2019-06-09 01-02-02,446,19.3588,34.8081
2019-06-09 01-02-04,446,19.3054,34.8241
2019-06-09 01-02-06,446,19.342,34.8241
2019-06-09 01-02-10,446,19.3054,34.8241
2019-06-09 01-02-12,446,19.3237,34.8081
2019-06-09 01-02-14,445,19.3054,34.8241
2019-06-09 01-02-16,445,19.342,34.8081
2019-06-09 01-02-18,445,19.3405,34.8081
2019-06-09 01-02-20,445,19.2505,34.8241
2019-06-09 01-02-22,444,19.3237,34.8375
2019-06-09 01-02-26,444,19.2688,34.8241
2019-06-09 01-02-28,443,19.2902,34.8241
2019-06-09 01-02-30,444,19.2902,34.7948
2019-06-09 01-02-32,444,19.3054,34.7948
2019-06-09 01-02-34,444,19.3054,34.8241
2019-06-09 01-02-36,444,19.3237,34.7948
2019-06-09 01-02-38,444,19.3054,34.8241
2019-06-09 01-02-40,444,19.3771,34.7948
2019-06-09 01-02-44,444,19.3222,34.8081
2019-06-09 01-02-46,444,19.4275,34.8508
2019-06-09 01-02-48,444,19.3771,34.8508
2019-06-09 01-02-50,444,19.3085,34.8802
2019-06-09 01-02-52,444,19.31,34.8936
2019-06-09 01-02-54,444,19.2398,34.9069
2019-06-09 01-02-56,444,19.2947,34.963
2019-06-09 01-02-58,444,19.2078,34.9924
2019-06-09 01-03-02,444,19.191,34.9924
2019-06-09 01-03-04,444,19.1574,34.9763
2019-06-09 01-03-06,444,19.1177,34.9763
2019-06-09 01-03-08,444,19.191,34.9496
2019-06-09 01-03-10,444,19.1391,34.9496
2019-06-09 01-03-12,444,19.1544,34.963
2019-06-09 01-03-14,443,19.2261,34.9763
2019-06-09 01-03-18,443,19.1574,34.963
2019-06-09 01-03-20,443,19.2261,34.9069
2019-06-09 01-03-22,443,19.1528,34.9363
2019-06-09 01-03-24,444,19.1544,34.9203
2019-06-09 01-03-26,444,19.223,34.9069
2019-06-09 01-03-28,444,19.1864,34.9069
2019-06-09 01-03-30,444,19.2215,34.9203
2019-06-09 01-03-32,443,19.223,34.8936
2019-06-09 01-03-36,443,19.1864,34.9069
2019-06-09 01-03-38,443,19.2215,34.8936
2019-06-09 01-03-40,443,19.2215,34.9069
2019-06-09 01-03-42,443,19.2047,34.9069
2019-06-09 01-03-44,443,19.2398,34.9069
2019-06-09 01-03-46,443,19.2581,34.9203
2019-06-09 01-03-48,443,19.223,34.9203
2019-06-09 01-03-52,443,19.1895,34.9203
2019-06-09 01-03-54,443,19.2398,34.9363
2019-06-09 01-03-56,443,19.223,34.8936
2019-06-09 01-03-58,443,19.2032,34.8936
2019-06-09 01-04-00,443,19.2032,34.9203
2019-06-09 01-04-02,443,19.2398,34.9069
2019-06-09 01-04-04,443,19.2215,34.9069
2019-06-09 01-04-06,443,19.2734,34.8936
2019-06-09 01-04-10,443,19.2398,34.8936
2019-06-09 01-04-12,442,19.2215,34.9069
2019-06-09 01-04-14,443,19.2215,34.9363
2019-06-09 01-04-16,443,19.2581,34.9069
2019-06-09 01-04-18,443,19.1864,34.9069
2019-06-09 01-04-20,443,19.2581,34.8936
2019-06-09 01-04-22,443,19.2551,34.8936
2019-06-09 01-04-26,443,19.2551,34.8802
2019-06-09 01-04-28,443,19.2215,34.8375
2019-06-09 01-04-30,442,19.2184,34.8375
2019-06-09 01-04-32,442,19.2535,34.8375
2019-06-09 01-04-34,443,19.3085,34.8375
2019-06-09 01-04-36,442,19.2535,34.8241
2019-06-09 01-04-38,442,19.2688,34.7948
2019-06-09 01-04-40,443,19.3054,34.7948
2019-06-09 01-04-44,442,19.3222,34.8081
2019-06-09 01-04-46,442,19.3054,34.8241
2019-06-09 01-04-48,442,19.2902,34.8241
2019-06-09 01-04-50,442,19.342,34.8241
2019-06-09 01-04-52,442,19.3054,34.7814
2019-06-09 01-04-54,442,19.3039,34.7948
2019-06-09 01-04-56,442,19.3741,34.7948
2019-06-09 01-04-58,442,19.3054,34.7681
2019-06-09 01-05-02,442,19.3192,34.736
2019-06-09 01-05-04,442,19.3542,34.736
2019-06-09 01-05-06,442,19.3359,34.736
2019-06-09 01-05-08,442,19.3695,34.6933
2019-06-09 01-05-10,442,19.4595,34.6372
2019-06-09 01-05-12,442,19.4183,34.6532
2019-06-09 01-05-14,442,19.4916,34.6666
2019-06-09 01-05-18,441,19.4733,34.6799
2019-06-09 01-05-20,442,19.4748,34.6933
2019-06-09 01-05-22,442,19.4748,34.6666
2019-06-09 01-05-24,442,19.4916,34.6799
2019-06-09 01-05-26,441,19.5099,34.6799
2019-06-09 01-05-28,441,19.4916,34.6372
2019-06-09 01-05-30,441,19.5236,34.6666
2019-06-09 01-05-32,441,19.5099,34.6799
2019-06-09 01-05-36,441,19.4748,34.6666
2019-06-09 01-05-38,441,19.4733,34.6532
2019-06-09 01-05-40,441,19.4916,34.6666
2019-06-09 01-05-42,441,19.4916,34.6372
2019-06-09 01-05-44,441,19.5602,34.6666
2019-06-09 01-05-46,441,19.4916,34.6666
2019-06-09 01-05-48,441,19.4733,34.6372
2019-06-09 01-05-52,441,19.5236,34.6372
2019-06-09 01-05-54,440,19.5236,34.6532
2019-06-09 01-05-56,440,19.5251,34.7227
2019-06-09 01-05-58,440,19.4595,34.736
2019-06-09 01-06-01,440,19.4427,34.736
2019-06-09 01-06-03,440,19.3542,34.7681
2019-06-09 01-06-05,440,19.4611,34.7681
2019-06-09 01-06-07,441,19.4061,34.7948
2019-06-09 01-06-11,441,19.3405,34.7948
2019-06-09 01-06-13,441,19.3405,34.8081
2019-06-09 01-06-15,441,19.3054,34.8081
2019-06-09 01-06-17,441,19.2871,34.8241
2019-06-09 01-06-19,441,19.2688,34.8081
2019-06-09 01-06-21,442,19.2688,34.7948
2019-06-09 01-06-23,442,19.3405,34.7814
2019-06-09 01-06-27,442,19.3375,34.7948
2019-06-09 01-06-29,442,19.3558,34.7494
2019-06-09 01-06-31,442,19.3542,34.7494
2019-06-09 01-06-33,441,19.3726,34.7494
2019-06-09 01-06-35,442,19.3726,34.736
2019-06-09 01-06-37,442,19.3542,34.736
2019-06-09 01-06-39,443,19.4229,34.6799
2019-06-09 01-06-41,442,19.4016,34.6799
2019-06-09 01-06-45,442,19.4412,34.7093
2019-06-09 01-06-47,442,19.4778,34.7681
2019-06-09 01-06-49,442,19.4244,34.7948
2019-06-09 01-06-51,442,19.3741,34.7948
2019-06-09 01-06-53,441,19.3741,34.7948
2019-06-09 01-06-55,441,19.3924,34.8081
2019-06-09 01-06-57,441,19.3588,34.8081
2019-06-09 01-06-59,441,19.2871,34.8241
2019-06-09 01-07-03,441,19.342,34.8081
2019-06-09 01-07-05,441,19.3054,34.7948
2019-06-09 01-07-07,441,19.3558,34.7814
2019-06-09 01-07-09,441,19.3222,34.7948
2019-06-09 01-07-11,441,19.3405,34.7814
2019-06-09 01-07-13,441,19.2871,34.7814
2019-06-09 01-07-15,442,19.3741,34.7948
2019-06-09 01-07-19,441,19.3558,34.8081
2019-06-09 01-07-21,442,19.3054,34.8081
2019-06-09 01-07-23,441,19.3237,34.8375
2019-06-09 01-07-25,442,19.3237,34.8081
2019-06-09 01-07-27,442,19.3054,34.8081
2019-06-09 01-07-29,442,19.3054,34.8081
2019-06-09 01-07-31,442,19.2871,34.8081
2019-06-09 01-07-33,442,19.3405,34.8241
2019-06-09 01-07-37,442,19.3771,34.8081
2019-06-09 01-07-39,442,19.3588,34.7948
2019-06-09 01-07-41,441,19.3405,34.7681
2019-06-09 01-07-43,441,19.3375,34.8081
2019-06-09 01-07-45,441,19.3054,34.8375
2019-06-09 01-07-47,441,19.2688,34.8375
2019-06-09 01-07-49,441,19.3771,34.8642
2019-06-09 01-07-53,441,19.3451,34.8241
2019-06-09 01-07-55,441,19.2902,34.8081
2019-06-09 01-07-57,442,19.2688,34.8081
2019-06-09 01-07-59,442,19.2871,34.8241
2019-06-09 01-08-01,442,19.3054,34.8375
2019-06-09 01-08-03,441,19.3237,34.8642
2019-06-09 01-08-05,442,19.2535,34.8802
2019-06-09 01-08-07,442,19.2719,34.8642
2019-06-09 01-08-11,442,19.2535,34.8936
2019-06-09 01-08-13,442,19.2947,34.9069
2019-06-09 01-08-15,442,19.2734,34.9069
2019-06-09 01-08-17,443,19.2398,34.9069
2019-06-09 01-08-19,443,19.2047,34.9069
2019-06-09 01-08-21,443,19.2078,34.9496
2019-06-09 01-08-23,443,19.2078,34.9496
2019-06-09 01-08-25,443,19.2047,34.9203
2019-06-09 01-08-29,444,19.1544,34.9363
2019-06-09 01-08-31,445,19.1681,34.8936
2019-06-09 01-08-33,445,19.2215,34.8802
2019-06-09 01-08-35,446,19.2368,34.8642
2019-06-09 01-08-37,446,19.2352,34.8375
2019-06-09 01-08-39,446,19.2505,34.8081
2019-06-09 01-08-41,446,19.342,34.8241
2019-06-09 01-08-45,447,19.3222,34.7948
2019-06-09 01-08-47,446,19.3558,34.7681
2019-06-09 01-08-49,446,19.3909,34.7814
2019-06-09 01-08-51,447,19.3375,34.7681
2019-06-09 01-08-53,446,19.3588,34.8081
2019-06-09 01-08-55,445,19.3222,34.7948
2019-06-09 01-08-57,445,19.4092,34.7948
2019-06-09 01-08-59,445,19.3222,34.7814
2019-06-09 01-09-03,445,19.3741,34.8081
2019-06-09 01-09-05,445,19.3588,34.8081
2019-06-09 01-09-07,445,19.3588,34.8081
2019-06-09 01-09-09,445,19.3054,34.8081
2019-06-09 01-09-11,446,19.3237,34.8241
2019-06-09 01-09-13,446,19.3054,34.8081
2019-06-09 01-09-15,446,19.3054,34.8241
2019-06-09 01-09-19,446,19.2902,34.8375
2019-06-09 01-09-21,446,19.2688,34.8375
2019-06-09 01-09-23,446,19.2688,34.8241
2019-06-09 01-09-25,446,19.2688,34.8241
2019-06-09 01-09-27,446,19.2688,34.8375
2019-06-09 01-09-29,446,19.2902,34.8375
2019-06-09 01-09-31,446,19.2902,34.8375
2019-06-09 01-09-33,446,19.2902,34.8375
2019-06-09 01-09-37,446,19.3237,34.8375
2019-06-09 01-09-39,446,19.2917,34.8642
2019-06-09 01-09-41,447,19.3085,34.8375
2019-06-09 01-09-43,446,19.2917,34.8802
2019-06-09 01-09-45,446,19.2368,34.8642
2019-06-09 01-09-47,446,19.2551,34.8802
2019-06-09 01-09-49,446,19.2032,34.8802
2019-06-09 01-09-53,446,19.2581,34.9069
2019-06-09 01-09-55,445,19.223,34.9203
2019-06-09 01-09-57,445,19.1711,34.9203
2019-06-09 01-09-59,445,19.1895,34.9363
2019-06-09 01-10-01,445,19.1864,34.9069
2019-06-09 01-10-03,445,19.1864,34.9069
2019-06-09 01-10-05,445,19.1864,34.9069
2019-06-09 01-10-07,445,19.1864,34.8936
2019-06-09 01-10-11,445,19.1681,34.8802
2019-06-09 01-10-13,445,19.2215,34.8936
2019-06-09 01-10-15,444,19.2032,34.8936
2019-06-09 01-10-17,444,19.2078,34.9363
2019-06-09 01-10-19,445,19.1544,34.963
2019-06-09 01-10-21,446,19.1406,35.0057
2019-06-09 01-10-23,446,19.0857,35.0191
2019-06-09 01-10-27,445,19.1437,35.0324
2019-06-09 01-10-29,445,19.0567,35.0912
2019-06-09 01-10-31,446,19.0613,35.1472
2019-06-09 01-10-33,446,18.9697,35.1472
2019-06-09 01-10-35,446,18.9529,35.1606
2019-06-09 01-10-37,446,18.9697,35.1472
2019-06-09 01-10-39,446,18.9529,35.1606
2019-06-09 01-10-41,446,18.9713,35.174
2019-06-09 01-10-45,445,18.8843,35.174
2019-06-09 01-10-47,446,18.9194,35.174
2019-06-09 01-10-49,446,18.8843,35.174
2019-06-09 01-10-51,446,18.9377,35.174
2019-06-09 01-10-53,446,18.9011,35.1472
2019-06-09 01-10-55,447,18.9514,35.1179
2019-06-09 01-10-57,447,18.9667,35.1045
2019-06-09 01-10-59,447,18.9484,35.0751
2019-06-09 01-11-03,447,19.0384,35.0618
2019-06-09 01-11-05,446,19.0384,35.0618
2019-06-09 01-11-07,446,19.0201,35.0484
2019-06-09 01-11-09,446,19.0353,35.0191
2019-06-09 01-11-11,445,19.1208,35.0057
2019-06-09 01-11-13,445,19.1574,34.9763
2019-06-09 01-11-16,445,19.1574,34.9763
2019-06-09 01-11-20,444,19.1574,34.9763
2019-06-09 01-11-22,444,19.1757,35.0057
2019-06-09 01-11-24,443,19.1208,35.0057
2019-06-09 01-11-26,443,19.1437,35.0324
2019-06-09 01-11-28,443,19.1071,35.0484
2019-06-09 01-11-30,443,19.0887,35.0324
2019-06-09 01-11-32,444,19.0338,35.0057
2019-06-09 01-11-34,444,19.0887,35.0324
2019-06-09 01-11-38,444,19.0704,35.0191
2019-06-09 01-11-40,444,19.0674,35.0057
2019-06-09 01-11-42,444,19.0674,35.0057
2019-06-09 01-11-44,444,19.1391,34.9763
2019-06-09 01-11-46,445,19.191,34.963
2019-06-09 01-11-48,444,19.1162,34.9203
2019-06-09 01-11-50,444,19.1864,34.9069
2019-06-09 01-11-52,444,19.1864,34.9069
2019-06-09 01-11-56,444,19.2215,34.9069
2019-06-09 01-11-58,444,19.1864,34.8936
2019-06-09 01-12-00,445,19.1849,34.8802
2019-06-09 01-12-02,446,19.2535,34.8642
2019-06-09 01-12-04,446,19.2535,34.8508
2019-06-09 01-12-06,446,19.2184,34.8508
2019-06-09 01-12-08,446,19.2184,34.8508
2019-06-09 01-12-12,446,19.2535,34.8375
2019-06-09 01-12-14,446,19.3054,34.8241
2019-06-09 01-12-16,445,19.3054,34.8081
2019-06-09 01-12-18,445,19.3054,34.8241
2019-06-09 01-12-20,445,19.3054,34.8081
2019-06-09 01-12-22,445,19.3039,34.7814
2019-06-09 01-12-24,445,19.3375,34.7681
2019-06-09 01-12-26,446,19.3726,34.7494
2019-06-09 01-12-30,446,19.3039,34.7681
2019-06-09 01-12-32,445,19.3039,34.7681
2019-06-09 01-12-34,445,19.3375,34.7494
2019-06-09 01-12-36,444,19.3924,34.7948
2019-06-09 01-12-38,444,19.3695,34.736
2019-06-09 01-12-40,445,19.3726,34.7681
2019-06-09 01-12-42,445,19.2642,34.7681
2019-06-09 01-12-46,445,19.3375,34.7814
2019-06-09 01-12-48,445,19.3054,34.7948
2019-06-09 01-12-50,445,19.2871,34.7948
2019-06-09 01-12-52,445,19.2871,34.7948
2019-06-09 01-12-54,445,19.3054,34.7948
2019-06-09 01-12-56,445,19.3237,34.8081
2019-06-09 01-12-58,445,19.3054,34.8241
2019-06-09 01-13-00,445,19.2535,34.8375
2019-06-09 01-13-04,445,19.3085,34.8508
2019-06-09 01-13-06,444,19.3085,34.8508
2019-06-09 01-13-08,445,19.2551,34.8802
2019-06-09 01-13-10,445,19.1864,34.9069
2019-06-09 01-13-12,445,19.2581,34.9363
2019-06-09 01-13-14,445,19.1711,34.9203
2019-06-09 01-13-16,445,19.1895,34.9363
2019-06-09 01-13-18,445,19.2078,34.963
2019-06-09 01-13-22,446,19.1589,35.0057
2019-06-09 01-13-24,446,19.1437,35.0484
2019-06-09 01-13-26,446,19.1071,35.0618
2019-06-09 01-13-28,446,18.9987,35.0191
