Time,#CO2,#Hum,#Temp
2019-06-11 01-04-54,403,22.4045,34.3435
2019-06-11 01-04-56,403,22.4411,34.3702
2019-06-11 01-04-58,404,22.3755,34.4129
2019-06-11 01-05-00,404,22.377,34.4129
2019-06-11 01-05-02,404,22.2885,34.4556
2019-06-11 01-05-06,404,22.29,34.4423
2019-06-11 01-05-08,404,22.2534,34.4556
2019-06-11 01-05-10,404,22.2565,34.4423
2019-06-11 01-05-12,404,22.2198,34.4263
2019-06-11 01-05-14,405,22.2534,34.3862
2019-06-11 01-05-16,406,22.2672,34.3996
2019-06-11 01-05-18,406,22.3404,34.3862
2019-06-11 01-05-22,406,22.3938,34.3996
2019-06-11 01-05-24,405,22.3404,34.4556
2019-06-11 01-05-26,405,22.2717,34.4556
2019-06-11 01-05-28,405,22.29,34.4823
2019-06-11 01-05-30,405,22.2214,34.5117
2019-06-11 01-05-32,405,22.2076,34.5117
2019-06-11 01-05-34,406,22.1893,34.5384
2019-06-11 01-05-36,406,22.171,34.5678
2019-06-11 01-05-40,406,22.139,34.5678
2019-06-11 01-05-42,406,22.1054,34.5678
2019-06-11 01-05-44,406,22.1054,34.6105
2019-06-11 01-05-46,406,22.0734,34.6105
2019-06-11 01-05-48,407,22.0886,34.6105
2019-06-11 01-05-50,407,22.0734,34.5678
2019-06-11 01-05-52,408,22.0871,34.5384
2019-06-11 01-05-56,408,22.0657,34.4823
2019-06-11 01-05-58,409,22.1664,34.4263
2019-06-11 01-06-00,410,22.2015,34.3862
2019-06-11 01-06-02,410,22.2519,34.3141
2019-06-11 01-06-04,410,22.2977,34.3141
2019-06-11 01-06-06,409,22.3526,34.2981
2019-06-11 01-06-08,409,22.4045,34.2687
2019-06-11 01-06-10,408,22.5098,34.2687
2019-06-11 01-06-14,407,22.4915,34.2981
2019-06-11 01-06-16,407,22.4579,34.3301
2019-06-11 01-06-18,407,22.4411,34.2687
2019-06-11 01-06-20,407,22.4365,34.2847
2019-06-11 01-06-22,407,22.4396,34.2687
2019-06-11 01-06-24,407,22.5098,34.2687
2019-06-11 01-06-26,406,22.4213,34.2847
2019-06-11 01-06-30,407,22.403,34.2554
2019-06-11 01-06-32,407,22.4716,34.2847
2019-06-11 01-06-34,406,22.4396,34.3141
2019-06-11 01-06-36,407,22.4579,34.3141
2019-06-11 01-06-38,408,22.3709,34.3702
2019-06-11 01-06-40,409,22.3572,34.3996
2019-06-11 01-06-42,409,22.3587,34.4129
2019-06-11 01-06-44,409,22.3221,34.4556
2019-06-11 01-06-48,409,22.3251,34.4556
2019-06-11 01-06-50,409,22.3251,34.4556
2019-06-11 01-06-52,409,22.2565,34.469
2019-06-11 01-06-54,409,22.2397,34.4984
2019-06-11 01-06-56,410,22.2397,34.4984
2019-06-11 01-06-58,410,22.1695,34.5251
2019-06-11 01-07-00,410,22.1924,34.5251
2019-06-11 01-07-04,411,22.1924,34.5678
2019-06-11 01-07-06,412,22.1741,34.5384
2019-06-11 01-07-08,412,22.1527,34.5544
2019-06-11 01-07-10,413,22.1024,34.5544
2019-06-11 01-07-12,413,22.0688,34.5544
2019-06-11 01-07-14,414,22.1375,34.5117
2019-06-11 01-07-16,413,22.1161,34.469
2019-06-11 01-07-18,414,22.1878,34.4556
2019-06-11 01-07-22,415,22.2382,34.4129
2019-06-11 01-07-24,414,22.2351,34.3996
2019-06-11 01-07-26,414,22.2855,34.3862
2019-06-11 01-07-28,414,22.2855,34.4263
2019-06-11 01-07-30,413,22.2534,34.4263
2019-06-11 01-07-32,413,22.2534,34.4129
2019-06-11 01-07-34,413,22.2885,34.4263
2019-06-11 01-07-36,413,22.2702,34.4263
2019-06-11 01-07-40,413,22.2702,34.3862
2019-06-11 01-07-42,412,22.3404,34.3862
2019-06-11 01-07-44,413,22.2672,34.3435
2019-06-11 01-07-46,413,22.3724,34.3141
2019-06-11 01-07-48,412,22.3358,34.3301
2019-06-11 01-07-50,413,22.3541,34.2981
2019-06-11 01-07-52,412,22.3709,34.3435
2019-06-11 01-07-56,411,22.3892,34.3435
2019-06-11 01-07-58,411,22.3892,34.3702
2019-06-11 01-08-00,411,22.3572,34.3996
2019-06-11 01-08-02,410,22.3587,34.4129
2019-06-11 01-08-04,410,22.3221,34.4129
2019-06-11 01-08-06,410,22.2885,34.4263
2019-06-11 01-08-08,410,22.2534,34.3862
2019-06-11 01-08-10,411,22.3206,34.3702
2019-06-11 01-08-14,411,22.3572,34.3301
2019-06-11 01-08-16,410,22.316,34.3568
2019-06-11 01-08-18,410,22.3389,34.3435
2019-06-11 01-08-20,410,22.3541,34.3862
2019-06-11 01-08-22,410,22.3587,34.3862
2019-06-11 01-08-24,411,22.3206,34.3862
2019-06-11 01-08-27,411,22.3404,34.4263
2019-06-11 01-08-31,412,22.3068,34.4423
2019-06-11 01-08-33,412,22.2717,34.4556
2019-06-11 01-08-35,412,22.2031,34.4263
2019-06-11 01-08-37,412,22.2534,34.4556
2019-06-11 01-08-39,412,22.2717,34.4263
2019-06-11 01-08-41,412,22.2885,34.3996
2019-06-11 01-08-43,412,22.3038,34.3568
2019-06-11 01-08-45,411,22.2488,34.3568
2019-06-11 01-08-49,411,22.2839,34.3301
2019-06-11 01-08-51,411,22.3358,34.3141
2019-06-11 01-08-53,411,22.3709,34.3301
2019-06-11 01-08-55,411,22.3709,34.2847
2019-06-11 01-08-57,411,22.4548,34.2847
2019-06-11 01-08-59,412,22.4548,34.2554
2019-06-11 01-09-01,413,22.4533,34.2287
2019-06-11 01-09-05,413,22.4686,34.1993
2019-06-11 01-09-07,413,22.5052,34.1859
2019-06-11 01-09-09,412,22.5037,34.1726
2019-06-11 01-09-11,412,22.5372,34.2126
2019-06-11 01-09-13,412,22.5739,34.1993
2019-06-11 01-09-15,411,22.5555,34.2126
2019-06-11 01-09-17,411,22.5052,34.2287
2019-06-11 01-09-19,411,22.5082,34.2126
2019-06-11 01-09-23,410,22.5052,34.242
2019-06-11 01-09-25,410,22.4899,34.2287
2019-06-11 01-09-27,411,22.5235,34.242
2019-06-11 01-09-29,410,22.4533,34.242
2019-06-11 01-09-31,410,22.4899,34.2554
2019-06-11 01-09-33,409,22.4716,34.2687
2019-06-11 01-09-35,410,22.4548,34.2847
2019-06-11 01-09-37,409,22.4548,34.3141
2019-06-11 01-09-41,409,22.4579,34.3435
2019-06-11 01-09-43,410,22.4258,34.3435
2019-06-11 01-09-45,409,22.3892,34.3301
2019-06-11 01-09-47,410,22.3892,34.3568
2019-06-11 01-09-49,410,22.4258,34.3568
2019-06-11 01-09-51,410,22.3572,34.3996
2019-06-11 01-09-53,410,22.377,34.4263
2019-06-11 01-09-57,411,22.3434,34.4263
2019-06-11 01-09-59,410,22.2702,34.4556
2019-06-11 01-10-01,410,22.2214,34.4556
2019-06-11 01-10-03,411,22.1848,34.4984
2019-06-11 01-10-05,411,22.258,34.5117
2019-06-11 01-10-07,411,22.2427,34.5251
2019-06-11 01-10-09,411,22.226,34.5384
2019-06-11 01-10-11,411,22.1024,34.5384
2019-06-11 01-10-15,411,22.1024,34.5678
2019-06-11 01-10-17,411,22.0688,34.5811
2019-06-11 01-10-19,410,22.052,34.6239
2019-06-11 01-10-21,410,22.1252,34.6239
2019-06-11 01-10-23,410,22.0917,34.6239
2019-06-11 01-10-25,410,22.0734,34.6532
2019-06-11 01-10-27,409,22.0367,34.6666
2019-06-11 01-10-31,409,21.9681,34.6666
2019-06-11 01-10-33,410,22.0596,34.6933
2019-06-11 01-10-35,410,21.936,34.7093
2019-06-11 01-10-37,410,21.9727,34.6933
2019-06-11 01-10-39,411,22.023,34.6666
2019-06-11 01-10-41,411,21.9513,34.6532
2019-06-11 01-10-43,411,21.9498,34.6532
2019-06-11 01-10-45,412,21.9681,34.6372
2019-06-11 01-10-49,412,21.9833,34.6532
2019-06-11 01-10-51,412,22.0367,34.6239
2019-06-11 01-10-53,411,22.0184,34.6239
2019-06-11 01-10-55,411,22.0184,34.6532
2019-06-11 01-10-57,411,22.0566,34.6933
2019-06-11 01-10-59,411,22.023,34.7093
2019-06-11 01-11-01,411,21.9879,34.6933
2019-06-11 01-11-03,411,21.9543,34.7227
2019-06-11 01-11-07,412,21.8826,34.7227
2019-06-11 01-11-09,411,21.9193,34.736
2019-06-11 01-11-11,411,21.904,34.7681
2019-06-11 01-11-13,411,21.8857,34.7814
2019-06-11 01-11-15,411,21.9055,34.7681
2019-06-11 01-11-17,411,21.8506,34.7494
2019-06-11 01-11-19,411,21.8857,34.7494
2019-06-11 01-11-23,411,21.8674,34.7227
2019-06-11 01-11-25,411,21.8826,34.6799
2019-06-11 01-11-27,411,21.8811,34.6666
2019-06-11 01-11-29,411,21.9513,34.6799
2019-06-11 01-11-31,411,21.9513,34.736
2019-06-11 01-11-33,411,21.9727,34.7494
2019-06-11 01-11-35,411,21.9223,34.736
2019-06-11 01-11-37,411,21.9223,34.736
2019-06-11 01-11-41,412,21.8826,34.736
2019-06-11 01-11-43,412,21.9559,34.7093
2019-06-11 01-11-45,412,21.9193,34.6666
2019-06-11 01-11-47,412,21.9864,34.6799
2019-06-11 01-11-49,412,21.9696,34.6105
2019-06-11 01-11-51,412,21.9818,34.6105
2019-06-11 01-11-53,412,22.0337,34.5811
2019-06-11 01-11-57,412,22.0871,34.5544
2019-06-11 01-11-59,412,22.0688,34.5678
2019-06-11 01-12-01,412,22.0871,34.5811
2019-06-11 01-12-03,411,22.0703,34.6239
2019-06-11 01-12-05,411,22.0551,34.6372
2019-06-11 01-12-07,410,22.0367,34.6532
2019-06-11 01-12-09,409,22.0367,34.6799
2019-06-11 01-12-11,408,21.9696,34.7093
2019-06-11 01-12-15,408,21.936,34.7093
2019-06-11 01-12-17,408,21.9009,34.736
2019-06-11 01-12-19,407,21.904,34.7093
2019-06-11 01-12-21,406,21.9193,34.7093
2019-06-11 01-12-23,406,21.9543,34.7227
2019-06-11 01-12-25,405,21.9543,34.7227
2019-06-11 01-12-27,405,21.9376,34.7227
2019-06-11 01-12-31,404,21.9193,34.7681
2019-06-11 01-12-33,403,21.9223,34.736
2019-06-11 01-12-35,402,21.904,34.7814
2019-06-11 01-12-37,402,21.8506,34.7948
2019-06-11 01-12-39,403,21.8536,34.7814
2019-06-11 01-12-41,403,21.817,34.8081
2019-06-11 01-12-43,403,21.7667,34.7948
2019-06-11 01-12-45,403,21.8536,34.7814
2019-06-11 01-12-49,403,21.8353,34.7681
2019-06-11 01-12-51,404,21.8323,34.736
2019-06-11 01-12-53,404,21.8674,34.7227
2019-06-11 01-12-55,404,21.9193,34.6933
2019-06-11 01-12-57,404,21.936,34.7093
2019-06-11 01-12-59,404,21.9543,34.7227
2019-06-11 01-13-01,405,21.904,34.7093
2019-06-11 01-13-05,405,21.936,34.7093
2019-06-11 01-13-07,406,21.9009,34.6933
2019-06-11 01-13-09,406,21.9009,34.7093
2019-06-11 01-13-11,406,21.9009,34.6666
2019-06-11 01-13-13,407,21.9681,34.6532
2019-06-11 01-13-15,406,21.9864,34.6105
2019-06-11 01-13-17,407,21.9818,34.6105
2019-06-11 01-13-19,407,22.0337,34.6105
2019-06-11 01-13-23,408,22.0184,34.6105
2019-06-11 01-13-25,409,22.0734,34.6372
2019-06-11 01-13-27,409,22.0184,34.6532
2019-06-11 01-13-29,409,21.9864,34.6372
2019-06-11 01-13-31,408,21.9681,34.6372
2019-06-11 01-13-33,408,22.0367,34.6372
2019-06-11 01-13-35,407,22.0566,34.6666
2019-06-11 01-13-37,407,22.0383,34.6666
2019-06-11 01-13-41,407,21.9681,34.6372
2019-06-11 01-13-43,407,21.9681,34.6105
2019-06-11 01-13-45,406,22.0001,34.5678
2019-06-11 01-13-47,406,22.0688,34.5811
2019-06-11 01-13-49,406,22.1054,34.6105
2019-06-11 01-13-51,405,22.0886,34.6239
2019-06-11 01-13-53,405,22.0184,34.6666
2019-06-11 01-13-57,405,22.0047,34.6933
2019-06-11 01-13-59,406,22.0596,34.6933
2019-06-11 01-14-02,407,21.9009,34.7093
2019-06-11 01-14-04,407,21.9009,34.7093
2019-06-11 01-14-06,408,21.9543,34.7227
2019-06-11 01-14-08,408,21.904,34.7093
2019-06-11 01-14-10,408,21.9009,34.6933
2019-06-11 01-14-12,408,21.936,34.6933
2019-06-11 01-14-16,407,21.8811,34.7227
2019-06-11 01-14-18,407,21.8826,34.6799
2019-06-11 01-14-20,407,21.8994,34.6372
2019-06-11 01-14-22,408,21.9498,34.6532
2019-06-11 01-14-24,408,22.0016,34.6105
2019-06-11 01-14-26,408,22.0551,34.5678
2019-06-11 01-14-28,409,22.0139,34.5678
2019-06-11 01-14-32,409,22.052,34.5384
2019-06-11 01-14-34,410,22.1191,34.5117
2019-06-11 01-14-36,410,22.1161,34.4823
2019-06-11 01-14-38,410,22.1664,34.4556
2019-06-11 01-14-40,410,22.2214,34.4263
2019-06-11 01-14-42,410,22.1848,34.4263
2019-06-11 01-14-44,410,22.2534,34.4263
2019-06-11 01-14-46,410,22.2534,34.4423
2019-06-11 01-14-50,409,22.2534,34.469
2019-06-11 01-14-52,409,22.2031,34.4823
2019-06-11 01-14-54,408,22.2214,34.5117
2019-06-11 01-14-56,408,22.1695,34.5251
2019-06-11 01-14-58,408,22.1527,34.5544
2019-06-11 01-15-00,407,22.1375,34.5811
2019-06-11 01-15-02,407,22.0871,34.5945
2019-06-11 01-15-04,407,22.0886,34.5945
2019-06-11 01-15-08,407,22.0703,34.6666
2019-06-11 01-15-10,407,22.0383,34.6799
2019-06-11 01-15-12,408,21.9696,34.7093
2019-06-11 01-15-14,408,21.9727,34.736
2019-06-11 01-15-16,408,21.9223,34.7494
2019-06-11 01-15-18,408,21.8857,34.7681
2019-06-11 01-15-20,409,21.8674,34.7814
2019-06-11 01-15-24,409,21.8506,34.7681
2019-06-11 01-15-26,410,21.8506,34.7814
2019-06-11 01-15-28,410,21.8506,34.7494
2019-06-11 01-15-30,410,21.8857,34.7814
2019-06-11 01-15-32,410,21.8506,34.7814
2019-06-11 01-15-34,411,21.7987,34.7814
2019-06-11 01-15-36,410,21.9055,34.8081
2019-06-11 01-15-38,411,21.8002,34.7948
2019-06-11 01-15-42,410,21.8353,34.7814
2019-06-11 01-15-44,410,21.7987,34.8081
2019-06-11 01-15-46,410,21.7499,34.8375
2019-06-11 01-15-48,409,21.7865,34.8375
2019-06-11 01-15-50,409,21.7682,34.8375
2019-06-11 01-15-52,409,21.7682,34.8241
2019-06-11 01-15-54,410,21.785,34.8241
2019-06-11 01-15-58,410,21.785,34.7948
2019-06-11 01-16-00,410,21.817,34.7814
2019-06-11 01-16-02,410,21.7987,34.7948
2019-06-11 01-16-04,410,21.8002,34.7948
2019-06-11 01-16-06,410,21.8002,34.8241
2019-06-11 01-16-08,409,21.8185,34.8241
2019-06-11 01-16-10,409,21.785,34.8081
2019-06-11 01-16-12,409,21.8002,34.8508
2019-06-11 01-16-16,409,21.8552,34.8241
2019-06-11 01-16-18,408,21.8033,34.8081
2019-06-11 01-16-20,409,21.7499,34.7814
