Time,#CO2,#Hum,#Temp
2019-06-07 01-00-03,566,22.847,34.8241
2019-06-07 01-00-07,566,22.847,34.8241
2019-06-07 01-00-09,565,22.8836,34.8241
2019-06-07 01-00-11,566,22.8653,34.8241
2019-06-07 01-00-13,566,22.8989,34.8241
2019-06-07 01-00-15,566,22.847,34.8081
2019-06-07 01-00-17,566,22.8806,34.8081
2019-06-07 01-00-19,566,22.8653,34.8241
2019-06-07 01-00-23,566,22.8836,34.8241
2019-06-07 01-00-25,566,22.8333,34.8642
2019-06-07 01-00-27,566,22.8699,34.9069
2019-06-07 01-00-29,566,22.7966,34.8936
2019-06-07 01-00-31,566,22.8149,34.8936
2019-06-07 01-00-33,566,22.7829,34.9203
2019-06-07 01-00-35,567,22.7112,34.9069
2019-06-07 01-00-37,567,22.7798,34.9069
2019-06-07 01-00-41,567,22.7463,34.9203
2019-06-07 01-00-43,567,22.728,34.8936
2019-06-07 01-00-45,567,22.7798,34.8936
2019-06-07 01-00-47,567,22.7615,34.8802
2019-06-07 01-00-49,567,22.8149,34.8802
2019-06-07 01-00-51,567,22.8149,34.8802
2019-06-07 01-00-53,567,22.7966,34.8802
2019-06-07 01-00-55,568,22.7966,34.8802
2019-06-07 01-00-59,568,22.7966,34.8936
2019-06-07 01-01-01,568,22.7982,34.9069
2019-06-07 01-01-03,567,22.7463,34.9069
2019-06-07 01-01-05,567,22.7295,34.9203
2019-06-07 01-01-07,568,22.7295,34.9363
2019-06-07 01-01-09,568,22.7829,34.9363
2019-06-07 01-01-11,568,22.7829,34.9203
2019-06-07 01-01-15,568,22.7478,34.9496
2019-06-07 01-01-17,568,22.6974,34.963
2019-06-07 01-01-19,568,22.6776,34.9763
2019-06-07 01-01-21,568,22.7325,34.963
2019-06-07 01-01-23,568,22.7325,34.9496
2019-06-07 01-01-25,568,22.7142,34.9496
2019-06-07 01-01-27,568,22.6746,34.9203
2019-06-07 01-01-29,568,22.7112,34.9069
2019-06-07 01-01-33,569,22.7646,34.9069
2019-06-07 01-01-35,569,22.7783,34.8642
2019-06-07 01-01-37,569,22.7432,34.8642
2019-06-07 01-01-39,569,22.8302,34.8375
2019-06-07 01-01-41,569,22.8333,34.8508
2019-06-07 01-01-43,569,22.8485,34.8375
2019-06-07 01-01-45,569,22.8485,34.8375
2019-06-07 01-01-49,569,22.8836,34.8241
2019-06-07 01-01-51,569,22.9202,34.8642
2019-06-07 01-01-53,569,22.8653,34.8375
2019-06-07 01-01-55,568,22.7936,34.8642
2019-06-07 01-01-57,568,22.8653,34.8375
2019-06-07 01-01-59,568,22.8668,34.8508
2019-06-07 01-02-01,568,22.8653,34.8375
2019-06-07 01-02-03,568,22.8485,34.8375
2019-06-07 01-02-07,568,22.8333,34.8642
2019-06-07 01-02-09,568,22.8516,34.8936
2019-06-07 01-02-11,568,22.8333,34.8642
2019-06-07 01-02-13,567,22.7783,34.8508
2019-06-07 01-02-15,568,22.8836,34.8508
2019-06-07 01-02-17,568,22.8485,34.8508
2019-06-07 01-02-19,567,22.8073,34.8081
2019-06-07 01-02-23,568,22.9019,34.8375
2019-06-07 01-02-25,568,22.8622,34.7948
2019-06-07 01-02-27,567,22.9309,34.7948
2019-06-07 01-02-29,567,22.9156,34.8081
2019-06-07 01-02-31,568,22.879,34.7814
2019-06-07 01-02-33,568,22.9477,34.7681
2019-06-07 01-02-35,567,22.9294,34.7494
2019-06-07 01-02-37,567,22.9477,34.7681
2019-06-07 01-02-41,567,22.9126,34.7681
2019-06-07 01-02-43,567,22.966,34.7814
2019-06-07 01-02-45,567,22.9126,34.7814
2019-06-07 01-02-47,567,22.9492,34.8081
2019-06-07 01-02-49,567,22.8806,34.7948
2019-06-07 01-02-51,568,22.9126,34.7814
2019-06-07 01-02-53,567,22.8943,34.736
2019-06-07 01-02-57,567,22.9156,34.7948
2019-06-07 01-02-59,567,22.9156,34.7948
2019-06-07 01-03-01,567,22.9156,34.8081
2019-06-07 01-03-03,567,22.9019,34.8642
2019-06-07 01-03-05,567,22.8851,34.8642
2019-06-07 01-03-07,567,22.8333,34.8642
2019-06-07 01-03-09,568,22.7432,34.8802
2019-06-07 01-03-11,568,22.8333,34.8642
2019-06-07 01-03-15,569,22.8149,34.8802
2019-06-07 01-03-17,569,22.8149,34.8802
2019-06-07 01-03-19,569,22.7783,34.8508
2019-06-07 01-03-21,570,22.8104,34.8375
2019-06-07 01-03-23,570,22.8622,34.8081
2019-06-07 01-03-25,570,22.8439,34.7948
2019-06-07 01-03-27,570,22.9126,34.7814
2019-06-07 01-03-31,570,22.9492,34.7814
2019-06-07 01-03-33,570,22.9309,34.7681
2019-06-07 01-03-35,570,22.966,34.7681
2019-06-07 01-03-37,570,22.8973,34.7814
2019-06-07 01-03-39,570,22.9675,34.7948
2019-06-07 01-03-41,570,22.963,34.7494
2019-06-07 01-03-43,569,22.8973,34.7814
2019-06-07 01-03-45,570,22.879,34.7681
2019-06-07 01-03-49,570,22.966,34.7681
2019-06-07 01-03-51,570,22.9477,34.7494
2019-06-07 01-03-53,570,22.963,34.7494
2019-06-07 01-03-55,570,22.966,34.7681
2019-06-07 01-03-57,570,22.963,34.736
2019-06-07 01-03-59,569,22.9446,34.736
2019-06-07 01-04-01,569,22.9813,34.7227
2019-06-07 01-04-05,569,22.9996,34.736
2019-06-07 01-04-07,569,22.9446,34.736
2019-06-07 01-04-09,569,22.9477,34.7494
2019-06-07 01-04-11,568,23.0026,34.7494
