Time,#CO2,#Hum,#Temp
2019-05-17 00-00-04,344,20.4941,34.0043
2019-05-17 00-00-06,344,20.5627,33.9883
2019-05-17 00-00-08,344,20.5811,34.0043
2019-05-17 00-00-10,345,20.5139,34.0311
2019-05-17 00-00-12,345,20.5322,34.0604
2019-05-17 00-00-14,345,20.5002,34.0871
2019-05-17 00-00-16,345,20.462,34.1005
2019-05-17 00-00-18,345,20.5139,34.0444
2019-05-17 00-00-22,345,20.4987,34.0604
2019-05-17 00-00-24,346,20.6009,34.0604
2019-05-17 00-00-26,345,20.5322,34.0604
2019-05-17 00-00-28,346,20.5505,34.0604
2019-05-17 00-00-30,346,20.5307,34.0311
2019-05-17 00-00-32,346,20.5124,34.0177
2019-05-17 00-00-34,346,20.546,34.0043
2019-05-17 00-00-38,347,20.636,34.0043
2019-05-17 00-00-40,346,20.6329,33.9483
2019-05-17 00-00-42,347,20.6467,33.9055
2019-05-17 00-00-44,347,20.6818,33.8895
2019-05-17 00-00-46,347,20.6467,33.9055
2019-05-17 00-00-48,347,20.6818,33.8895
2019-05-17 00-00-50,347,20.6604,33.8628
2019-05-17 00-00-52,348,20.6955,33.8628
2019-05-17 00-00-56,347,20.7504,33.8762
2019-05-17 00-00-58,347,20.7138,33.8628
2019-05-17 00-01-00,347,20.6955,33.8308
2019-05-17 00-01-02,347,20.6787,33.8762
2019-05-17 00-01-04,347,20.7138,33.8495
2019-05-17 00-01-06,347,20.6924,33.8174
2019-05-17 00-01-08,347,20.816,33.8041
2019-05-17 00-01-10,346,20.8374,33.8308
2019-05-17 00-01-14,346,20.8191,33.8495
2019-05-17 00-01-16,345,20.8054,33.8762
2019-05-17 00-01-18,345,20.7687,33.8628
2019-05-17 00-01-20,346,20.784,33.8308
2019-05-17 00-01-22,345,20.7108,33.8308
2019-05-17 00-01-24,345,20.7138,33.8628
2019-05-17 00-01-26,345,20.7474,33.8628
2019-05-17 00-01-30,344,20.7474,33.8628
2019-05-17 00-01-32,344,20.7321,33.8762
2019-05-17 00-01-34,344,20.752,33.9323
2019-05-17 00-01-36,344,20.7047,33.9883
2019-05-17 00-01-38,343,20.5826,34.0311
