Time,#CO2,#Hum,#Temp
2019-05-15 00-00-02,328,22.8973,34.7814
2019-05-15 00-00-04,328,22.9126,34.7681
2019-05-15 00-00-06,328,22.9309,34.7681
2019-05-15 00-00-08,328,22.9843,34.736
2019-05-15 00-00-10,328,22.9813,34.7093
2019-05-15 00-00-12,327,23.0682,34.7227
2019-05-15 00-00-16,327,23.1735,34.6799
2019-05-15 00-00-18,327,23.1186,34.6933
2019-05-15 00-00-20,327,23.1735,34.6933
2019-05-15 00-00-22,327,23.1171,34.6532
2019-05-15 00-00-24,327,23.14,34.6799
2019-05-15 00-00-26,327,23.1171,34.6666
2019-05-15 00-00-28,328,23.172,34.6666
2019-05-15 00-00-32,328,23.1171,34.6532
2019-05-15 00-00-34,328,23.1003,34.6799
2019-05-15 00-00-36,328,23.1186,34.6933
2019-05-15 00-00-38,328,23.1186,34.6799
2019-05-15 00-00-40,328,23.1552,34.6799
2019-05-15 00-00-42,328,23.085,34.6933
2019-05-15 00-00-44,329,23.0865,34.7227
2019-05-15 00-00-46,328,23.0865,34.7093
2019-05-15 00-00-50,328,23.1415,34.7227
2019-05-15 00-00-52,328,23.1049,34.7227
2019-05-15 00-00-54,328,23.1232,34.7494
2019-05-15 00-00-56,328,23.0362,34.736
2019-05-15 00-00-58,328,23.0209,34.7681
2019-05-15 00-01-00,328,22.9843,34.7494
2019-05-15 00-01-02,329,22.963,34.7494
2019-05-15 00-01-04,329,23.0026,34.7681
2019-05-15 00-01-08,329,22.9843,34.736
2019-05-15 00-01-10,329,22.963,34.736
2019-05-15 00-01-12,330,22.9477,34.7494
2019-05-15 00-01-15,330,22.8943,34.7494
2019-05-15 00-01-17,330,22.9858,34.7681
2019-05-15 00-01-19,330,22.9858,34.7948
2019-05-15 00-01-21,330,23.0026,34.7681
2019-05-15 00-01-25,330,22.9675,34.7948
2019-05-15 00-01-27,330,23.0042,34.8081
2019-05-15 00-01-29,330,22.9675,34.8241
2019-05-15 00-01-31,330,22.9019,34.8642
2019-05-15 00-01-33,330,22.9538,34.8508
2019-05-15 00-01-35,330,22.9355,34.8642
2019-05-15 00-01-37,329,22.9202,34.8508
2019-05-15 00-01-39,329,22.9202,34.8508
2019-05-15 00-01-43,329,22.9355,34.8375
2019-05-15 00-01-45,329,22.8668,34.8508
2019-05-15 00-01-47,330,22.8302,34.8241
2019-05-15 00-01-49,329,22.9492,34.7814
2019-05-15 00-01-51,329,22.9294,34.7494
2019-05-15 00-01-53,329,22.963,34.7227
2019-05-15 00-01-55,329,22.9996,34.736
2019-05-15 00-01-59,329,22.9996,34.736
2019-05-15 00-02-01,328,23.0179,34.736
2019-05-15 00-02-03,328,23.0347,34.7227
2019-05-15 00-02-05,328,23.1216,34.7093
2019-05-15 00-02-07,329,23.085,34.6933
2019-05-15 00-02-09,328,23.0316,34.6933
2019-05-15 00-02-11,328,23.0667,34.6933
2019-05-15 00-02-13,328,23.1033,34.6933
2019-05-15 00-02-17,328,23.1033,34.6933
2019-05-15 00-02-19,327,23.0362,34.736
2019-05-15 00-02-21,328,23.0179,34.7227
2019-05-15 00-02-23,328,23.0347,34.7227
2019-05-15 00-02-25,327,22.9797,34.6933
2019-05-15 00-02-27,328,23.053,34.7227
2019-05-15 00-02-29,327,23.0179,34.736
2019-05-15 00-02-31,327,22.9309,34.7814
2019-05-15 00-02-35,326,22.9858,34.7948
2019-05-15 00-02-37,325,22.8989,34.8081
2019-05-15 00-02-39,326,22.8989,34.8241
2019-05-15 00-02-41,325,22.9568,34.8802
2019-05-15 00-02-43,326,22.9034,34.8936
2019-05-15 00-02-45,326,22.9034,34.8936
2019-05-15 00-02-47,327,22.8378,34.9203
2019-05-15 00-02-51,328,22.8531,34.9203
2019-05-15 00-02-53,328,22.8012,34.9496
2019-05-15 00-02-55,328,22.7844,34.963
2019-05-15 00-02-57,328,22.7692,34.9924
2019-05-15 00-02-59,329,22.7524,35.0191
2019-05-15 00-03-01,329,22.7371,35.0324
2019-05-15 00-03-03,329,22.7188,35.0324
2019-05-15 00-03-05,329,22.7554,35.0484
2019-05-15 00-03-09,330,22.7554,35.0324
2019-05-15 00-03-11,329,22.702,35.0324
2019-05-15 00-03-13,329,22.6822,35.0191
2019-05-15 00-03-15,330,22.6456,35.0057
2019-05-15 00-03-17,330,22.7341,35.0057
2019-05-15 00-03-19,331,22.7005,34.9924
2019-05-15 00-03-21,331,22.6776,34.963
2019-05-15 00-03-25,331,22.7142,34.9496
2019-05-15 00-03-27,332,22.7646,34.9363
2019-05-15 00-03-29,332,22.8012,34.963
2019-05-15 00-03-31,332,22.8561,34.963
2019-05-15 00-03-33,331,22.7509,34.963
2019-05-15 00-03-35,331,22.6974,34.963
2019-05-15 00-03-37,331,22.6776,34.963
2019-05-15 00-03-39,331,22.6974,34.963
2019-05-15 00-03-43,331,22.6776,34.9763
2019-05-15 00-03-45,331,22.7325,34.963
2019-05-15 00-03-47,332,22.7478,34.9496
2019-05-15 00-03-49,332,22.7325,34.963
2019-05-15 00-03-51,331,22.7509,34.963
2019-05-15 00-03-53,331,22.8012,34.963
2019-05-15 00-03-55,332,22.7875,34.9924
2019-05-15 00-03-57,332,22.8012,34.963
2019-05-15 00-04-01,332,22.7509,34.9763
2019-05-15 00-04-03,333,22.7325,34.963
2019-05-15 00-04-05,332,22.6974,34.9763
2019-05-15 00-04-07,332,22.7325,34.9496
2019-05-15 00-04-09,332,22.6959,34.9363
2019-05-15 00-04-11,332,22.7463,34.9203
2019-05-15 00-04-13,332,22.8165,34.9203
2019-05-15 00-04-17,331,22.7982,34.9203
2019-05-15 00-04-19,330,22.7325,34.963
2019-05-15 00-04-21,330,22.7005,34.9924
2019-05-15 00-04-23,330,22.7341,34.9924
2019-05-15 00-04-25,330,22.7188,35.0057
2019-05-15 00-04-27,330,22.7524,34.9924
2019-05-15 00-04-29,330,22.7341,34.9924
2019-05-15 00-04-31,330,22.7158,34.9924
2019-05-15 00-04-35,330,22.7646,34.9363
2019-05-15 00-04-37,330,22.7829,34.9496
2019-05-15 00-04-39,330,22.8012,34.963
2019-05-15 00-04-41,329,22.7524,34.9924
2019-05-15 00-04-43,329,22.7341,34.9924
2019-05-15 00-04-45,329,22.8027,34.9924
2019-05-15 00-04-47,329,22.7707,35.0191
2019-05-15 00-04-49,329,22.7188,35.0191
2019-05-15 00-04-53,329,22.7188,35.0191
2019-05-15 00-04-55,329,22.7158,34.9924
2019-05-15 00-04-57,329,22.6456,34.9924
2019-05-15 00-04-59,329,22.7005,35.0057
2019-05-15 00-05-01,329,22.6593,34.9363
2019-05-15 00-05-03,329,22.6974,34.963
2019-05-15 00-05-05,329,22.7661,34.9496
2019-05-15 00-05-09,329,22.7509,34.963
2019-05-15 00-05-11,329,22.6974,34.963
2019-05-15 00-05-13,329,22.7661,34.963
2019-05-15 00-05-15,329,22.8012,34.9496
2019-05-15 00-05-17,329,22.7478,34.9363
2019-05-15 00-05-19,328,22.7661,34.963
2019-05-15 00-05-21,328,22.7661,34.9496
2019-05-15 00-05-23,327,22.8027,34.9763
2019-05-15 00-05-27,327,22.6822,35.0191
2019-05-15 00-05-29,326,22.7371,35.0191
2019-05-15 00-05-31,325,22.7203,35.0484
2019-05-15 00-05-33,325,22.6837,35.0484
2019-05-15 00-05-35,324,22.7188,35.0324
2019-05-15 00-05-37,325,22.6822,35.0191
2019-05-15 00-05-39,325,22.7509,34.9763
2019-05-15 00-05-43,325,22.7829,34.9363
2019-05-15 00-05-45,326,22.728,34.9069
2019-05-15 00-05-47,327,22.7646,34.9069
2019-05-15 00-05-49,327,22.7783,34.8802
2019-05-15 00-05-51,326,22.7936,34.8642
2019-05-15 00-05-53,326,22.8653,34.8241
2019-05-15 00-05-55,326,22.9309,34.7948
2019-05-15 00-05-57,326,22.934,34.8081
2019-05-15 00-06-01,326,22.847,34.8241
2019-05-15 00-06-03,326,22.9172,34.8375
2019-05-15 00-06-05,326,22.8668,34.8508
2019-05-15 00-06-07,325,22.8333,34.8642
2019-05-15 00-06-09,325,22.8851,34.8802
2019-05-15 00-06-11,325,22.8516,34.8936
2019-05-15 00-06-13,325,22.8165,34.9203
2019-05-15 00-06-15,325,22.8165,34.9203
2019-05-15 00-06-19,325,22.8714,34.9363
2019-05-15 00-06-21,325,22.7829,34.9203
2019-05-15 00-06-23,325,22.8378,34.9203
2019-05-15 00-06-25,325,22.8165,34.9363
2019-05-15 00-06-27,325,22.8714,34.9203
2019-05-15 00-06-29,325,22.8378,34.9203
2019-05-15 00-06-31,325,22.8348,34.9069
2019-05-15 00-06-35,325,22.8333,34.8802
2019-05-15 00-06-37,326,22.8531,34.9203
2019-05-15 00-06-39,326,22.8561,34.9363
2019-05-15 00-06-41,327,22.7798,34.9069
2019-05-15 00-06-44,327,22.7798,34.9069
2019-05-15 00-06-46,328,22.8165,34.9363
2019-05-15 00-06-48,328,22.8378,34.9363
2019-05-15 00-06-50,329,22.8531,34.9203
2019-05-15 00-06-54,329,22.8714,34.9203
2019-05-15 00-06-56,329,22.8333,34.8802
2019-05-15 00-06-58,330,22.8699,34.9069
2019-05-15 00-07-00,331,22.8882,34.9069
2019-05-15 00-07-02,331,22.8531,34.9069
2019-05-15 00-07-04,331,22.8561,34.9363
2019-05-15 00-07-06,331,22.8531,34.9203
2019-05-15 00-07-08,332,22.8699,34.9069
2019-05-15 00-07-12,330,22.8531,34.9069
2019-05-15 00-07-14,330,22.8882,34.8936
2019-05-15 00-07-16,330,22.9065,34.9069
2019-05-15 00-07-18,330,22.8882,34.9069
2019-05-15 00-07-20,329,22.9065,34.9069
2019-05-15 00-07-22,329,22.9034,34.8936
2019-05-15 00-07-24,330,22.8668,34.8642
2019-05-15 00-07-26,330,22.9019,34.8508
2019-05-15 00-07-30,331,22.8989,34.8241
2019-05-15 00-07-32,331,22.9492,34.8081
2019-05-15 00-07-34,331,22.9309,34.7681
2019-05-15 00-07-36,331,22.963,34.736
2019-05-15 00-07-38,331,22.9843,34.7494
2019-05-15 00-07-40,331,22.9614,34.7093
2019-05-15 00-07-42,330,22.9446,34.7227
2019-05-15 00-07-46,330,22.9813,34.7227
2019-05-15 00-07-48,330,22.963,34.7227
2019-05-15 00-07-50,330,23.0316,34.6933
2019-05-15 00-07-52,330,23.0164,34.6933
2019-05-15 00-07-54,330,23.0499,34.6933
2019-05-15 00-07-56,329,23.1003,34.6799
2019-05-15 00-07-58,329,23.0499,34.6933
2019-05-15 00-08-00,329,23.0347,34.7093
2019-05-15 00-08-04,328,22.9858,34.7814
2019-05-15 00-08-06,327,23.0026,34.7681
2019-05-15 00-08-08,327,22.9858,34.7948
2019-05-15 00-08-10,326,22.9492,34.7948
2019-05-15 00-08-12,326,22.9172,34.8241
2019-05-15 00-08-14,326,22.9523,34.8241
2019-05-15 00-08-16,326,22.9523,34.8375
2019-05-15 00-08-18,326,22.8836,34.8508
2019-05-15 00-08-22,327,22.8836,34.8375
2019-05-15 00-08-24,327,22.9172,34.8375
2019-05-15 00-08-26,327,22.847,34.8241
2019-05-15 00-08-28,327,22.9523,34.8375
2019-05-15 00-08-30,327,22.9523,34.8241
2019-05-15 00-08-32,328,22.9523,34.8241
2019-05-15 00-08-34,327,22.9355,34.8375
2019-05-15 00-08-38,327,22.8485,34.8375
2019-05-15 00-08-40,328,22.8836,34.8375
2019-05-15 00-08-42,328,22.9706,34.8375
2019-05-15 00-08-44,328,22.9355,34.8508
2019-05-15 00-08-46,328,22.9202,34.8802
2019-05-15 00-08-48,328,22.8516,34.8802
2019-05-15 00-08-50,327,22.7966,34.8936
2019-05-15 00-08-52,327,22.7966,34.8936
2019-05-15 00-08-56,327,22.8012,34.9363
2019-05-15 00-08-58,327,22.8394,34.9496
2019-05-15 00-09-00,327,22.8378,34.9363
2019-05-15 00-09-02,326,22.8027,34.9763
2019-05-15 00-09-04,327,22.8195,34.9763
2019-05-15 00-09-06,327,22.7509,34.963
2019-05-15 00-09-08,326,22.7509,34.9763
2019-05-15 00-09-10,326,22.7875,35.0057
2019-05-15 00-09-14,326,22.7692,34.9924
2019-05-15 00-09-16,326,22.7341,34.9924
2019-05-15 00-09-18,326,22.7875,34.9924
